company,short desc,linkedin
Arm Holdings,"Arm Holdings is a multinational semiconductor company that designs, produces, and licenses IP for digital electronic product development.",http://www.linkedin.com/company/arm
SAP,"SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.",https://www.linkedin.com/company/sap
Startup Wise Guys,Startup Wise Guys is a B2B startup accelerator.,https://www.linkedin.com/company/startup-wise-guys
